"","IDEOLOGIA","GOSTA_BOLSONARO","GOSTA_PT","GOSTA_LULA","INTERV_MIL_CRIME","INTERV_MIL_CORRUPCAO","INTERV_MIL_INST_POL","cluster","membership_cluster1","membership_cluster2","membership_cluster3"
"22",7,2,5,10,1,2,2,3,0.0329429716232004,0.042300749727022,0.924756278649777
"23",5,1,5,6,2,2,2,3,0.077500068021449,0.366468352785861,0.55603157919269
"24",5,0,8,6,1,1,2,3,0.0707433876848691,0.398343040195579,0.530913572119552
"25",10,10,0,0,2,2,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"26",4,4,4,2,1,1,2,2,0.171166099005819,0.461947482239391,0.36688641875479
"27",6,0,8,7,1,1,2,3,0.0589263295004171,0.192926192079372,0.748147478420211
"28",10,8,0,0,2,1,1,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"29",7,5,10,8,2,2,2,3,0.340804019733995,0.126962734777226,0.532233245488779
"30",7,8,5,6,2,2,2,1,0.806395505103341,0.0615509621406489,0.132053532756011
"31",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"32",10,8,0,0,1,1,2,1,0.951732840958691,0.0116206004735443,0.0366465585677645
"33",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"34",8,7,10,10,2,2,2,1,0.790358606609221,0.0507306537055148,0.158910739685265
"35",10,10,1,0,2,2,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"36",4,0,10,10,1,1,1,2,0.0578969456887985,0.646804014837214,0.295299039473988
"37",6,5,0,1,2,2,2,3,0.313092216804638,0.190758010493332,0.496149772702031
"38",10,10,0,0,1,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"39",10,10,0,0,1,1,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"40",5,4,7,2,2,2,2,3,0.195220973867607,0.309805566138108,0.494973459994285
"41",5,3,10,10,2,2,2,3,0.134041585002754,0.325953365517168,0.540005049480079
"42",0,2,10,8,2,2,2,2,0.0218592040195954,0.936433856196241,0.041706939784164
"43",5,4,1,1,1,2,1,3,0.195220973867607,0.309805566138108,0.494973459994285
"44",5,2,7,6,2,2,2,3,0.0965605897723887,0.3420759431636,0.561363467064012
"45",0,0,10,10,2,2,2,2,0.00919622310310039,0.969962079593613,0.0208416973032866
"46",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"47",10,10,0,0,2,1,1,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"48",10,10,2,0,2,2,2,1,0.974344548644874,0.00763781631334832,0.0180176350417773
"49",1,0,10,10,2,2,2,2,0.0018445236898459,0.993375609038411,0.00477986727174346
"50",8,5,4,2,1,1,2,3,0.374754060477184,0.0909364872875562,0.534309452235259
